"fold","k","lambda","auc","n_holdout_1","n_holdout_0"
1,2,3.47358124864968,0.494444444444444,36,145
1,5,3.47358124864968,0.494444444444444,36,145
1,10,3.47358124864968,0.494444444444444,36,145
2,2,3.63848492078036,0.495785440613027,36,145
2,5,3.63848492078036,0.495785440613027,36,145
2,10,3.63848492078036,0.495785440613027,36,145
3,2,3.54065277415383,0.610837438423645,35,145
3,5,3.54065277415383,0.610837438423645,35,145
3,10,3.54065277415383,0.610837438423645,35,145
4,2,3.76076488542309,0.543849206349207,35,144
4,5,3.76076488542309,0.543849206349207,35,144
4,10,3.76076488542309,0.543849206349207,35,144
5,2,3.48932542167232,0.509126984126985,35,144
5,5,3.48932542167232,0.509126984126985,35,144
5,10,3.48932542167232,0.509126984126985,35,144
